Source,Term_ID,Term,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences,adj_p_value,-log10(adj_p),hits,Category
HP,HP:0000356,Abnormality of the outer ear,1.0,False,An abnormality of the external ear.,1324,5,1,5080,0.2,0.0007552870090634441,query_1,['HP:0031703'],['IFIH1'],[['HP']],1.0,-0.0,1,Other
HP,HP:0000337,Broad forehead,1.0,False,Width of the forehead or distance between the frontotemporales is more than two standard deviations above the mean (objective); or apparently increased distance between the two sides of the forehead.,209,5,1,5080,0.2,0.004784688995215311,query_1,['HP:0000290'],['IFIH1'],[['HP']],1.0,-0.0,1,Other
HP,HP:0000327,Hypoplasia of the maxilla,1.0,False,Abnormally small dimension of the Maxilla. Usually creating a malocclusion or malalignment between the upper and lower teeth or resulting in a deficient amount of projection of the base of the nose and lower midface region.,130,5,1,5080,0.2,0.007692307692307693,query_1,['HP:0000326'],['IFIH1'],[['HP']],1.0,-0.0,1,Other
HP,HP:0000326,Abnormal maxilla morphology,1.0,False,An abnormality of the Maxilla (upper jaw bone).,153,5,1,5080,0.2,0.006535947712418301,query_1,['HP:0030791'],['IFIH1'],[['HP']],1.0,-0.0,1,Other
HP,HP:0000319,Smooth philtrum,1.0,False,"Flat skin surface, with no ridge formation in the central region of the upper lip between the nasal base and upper vermilion border.",195,5,1,5080,0.2,0.005128205128205128,query_1,['HP:0000288'],['IFIH1'],[['HP']],1.0,-0.0,1,Other
HP,HP:0000315,Abnormality of the orbital region,1.0,False,Abnormality of the orbital region,1661,5,1,5080,0.2,0.0006020469596628537,query_1,['HP:0000271'],['IFIH1'],[['HP']],1.0,-0.0,1,Other
HP,HP:0000290,Abnormal forehead morphology,1.0,False,An anomaly of the forehead.,1215,5,1,5080,0.2,0.0008230452674897119,query_1,['HP:0000271'],['IFIH1'],[['HP']],1.0,-0.0,1,Other
HP,HP:0000288,Abnormality of the philtrum,1.0,False,An abnormality of the philtrum.,734,5,1,5080,0.2,0.0013623978201634877,query_1,['HP:0000177'],['IFIH1'],[['HP']],1.0,-0.0,1,Other
HP,HP:0000271,Abnormality of the face,1.0,False,An abnormality of the face.,3033,5,3,5080,0.6,0.0009891196834817012,query_1,['HP:0000234'],"['PTPN6', 'IFIH1', 'NFKB2']","[['HP'], ['HP'], ['HP']]",1.0,-0.0,3,Other
HP,HP:0000252,Microcephaly,1.0,False,Head circumference below 2 standard deviations below the mean for age and gender.,1352,5,1,5080,0.2,0.0007396449704142012,query_1,"['HP:0007364', 'HP:0040195']",['IFIH1'],[['HP']],1.0,-0.0,1,Other
HP,HP:0000248,Brachycephaly,1.0,False,"An abnormality of skull shape characterized by a decreased anterior-posterior diameter. That is, a cephalic index greater than 81%. Alternatively, an apparently shortened anteroposterior dimension (length) of the head compared to width.",256,5,1,5080,0.2,0.00390625,query_1,['HP:0002683'],['NFKB2'],[['HP']],1.0,-0.0,1,Other
HP,HP:0000246,Sinusitis,1.0,False,"Inflammation of the paranasal sinuses owing to a viral, bacterial, or fungal infection, allergy, or an autoimmune reaction.",171,5,1,5080,0.2,0.005847953216374269,query_1,"['HP:0000245', 'HP:0012649']",['NFKB2'],[['HP']],1.0,-0.0,1,Other
HP,HP:0000245,Abnormal paranasal sinus morphology,1.0,False,"Abnormality of the paranasal (cranial) sinuses, which are air-filled spaces that are located within the bones of the skull and face and communicate with the nasal cavity. They comprise the maxillary sinuses, the frontal sinuses, the ethmoid sinuses, and the sphenoid sinuses.",191,5,1,5080,0.2,0.005235602094240838,query_1,"['HP:0002087', 'HP:0011821']",['NFKB2'],[['HP']],1.0,-0.0,1,Other
HP,HP:0000240,Abnormality of skull size,1.0,False,Any abnormality of the size of the skull.,1634,5,1,5080,0.2,0.0006119951040391676,query_1,['HP:0000929'],['IFIH1'],[['HP']],1.0,-0.0,1,Other
WP,WP:WP5120,Inclusion body myositis,1.0,False,Inclusion body myositis,10,10,1,8752,0.1,0.1,query_1,['WP:000000'],['NFKB2'],[['WP']],1.0,-0.0,1,Other
HP,HP:0000501,Glaucoma,1.0,False,Glaucoma refers loss of retinal ganglion cells in a characteristic pattern of optic neuropathy usually associated with increased intraocular pressure.,376,5,1,5080,0.2,0.0026595744680851063,query_1,['HP:0012373'],['IFIH1'],[['HP']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-168181,Toll Like Receptor 7/8 (TLR7/8) Cascade,1.0,False,Toll Like Receptor 7/8 (TLR7/8) Cascade,102,8,1,11004,0.125,0.00980392156862745,query_1,['REAC:R-HSA-168898'],['NFKB2'],[['REAC']],1.0,-0.0,1,Immune signaling
REAC,REAC:R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,1.0,False,Toll Like Receptor 4 (TLR4) Cascade,143,8,1,11004,0.125,0.006993006993006993,query_1,['REAC:R-HSA-168898'],['NFKB2'],[['REAC']],1.0,-0.0,1,Immune signaling
REAC,REAC:R-HSA-9678108,SARS-CoV-1 Infection,1.0,False,SARS-CoV-1 Infection,140,8,1,11004,0.125,0.007142857142857143,query_1,['REAC:R-HSA-9679506'],['IFIH1'],[['REAC']],1.0,-0.0,1,Other
WP,WP:WP530,Cytokines and inflammatory response,1.0,False,Cytokines and inflammatory response,26,10,1,8752,0.1,0.038461538461538464,query_1,['WP:000000'],['IL1B'],[['WP']],1.0,-0.0,1,Immune signaling
REAC,REAC:R-HSA-9679506,SARS-CoV Infections,1.0,False,SARS-CoV Infections,459,8,2,11004,0.25,0.004357298474945534,query_1,['REAC:R-HSA-9824446'],"['PTPN6', 'IFIH1']","[['REAC'], ['REAC']]",1.0,-0.0,2,Other
REAC,REAC:R-HSA-9820952,Respiratory Syncytial Virus Infection Pathway,1.0,False,Respiratory Syncytial Virus Infection Pathway,119,8,1,11004,0.125,0.008403361344537815,query_1,['REAC:R-HSA-9824446'],['IFIH1'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-388841,Regulation of T cell activation by CD28 family,1.0,False,Regulation of T cell activation by CD28 family,67,8,1,11004,0.125,0.014925373134328358,query_1,['REAC:R-HSA-1280218'],['PTPN6'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-1433559,Regulation of KIT signaling,1.0,False,Regulation of KIT signaling,13,8,1,11004,0.125,0.07692307692307693,query_1,['REAC:R-HSA-1433557'],['PTPN6'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-877312,Regulation of IFNG signaling,1.0,False,Regulation of IFNG signaling,12,8,1,11004,0.125,0.08333333333333333,query_1,['REAC:R-HSA-877300'],['PTPN6'],[['REAC']],1.0,-0.0,1,Interferon/antiviral
REAC,REAC:R-HSA-912694,Regulation of IFNA/IFNB signaling,1.0,False,Regulation of IFNA/IFNB signaling,24,8,1,11004,0.125,0.041666666666666664,query_1,['REAC:R-HSA-909733'],['PTPN6'],[['REAC']],1.0,-0.0,1,Interferon/antiviral
REAC,REAC:R-HSA-5218859,Regulated Necrosis,1.0,False,Regulated Necrosis,58,8,1,11004,0.125,0.017241379310344827,query_1,['REAC:R-HSA-5357801'],['IL1B'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-9833110,RSV-host interactions,1.0,False,RSV-host interactions,97,8,1,11004,0.125,0.010309278350515464,query_1,['REAC:R-HSA-9820952'],['IFIH1'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-1810476,RIP-mediated NFkB activation via ZBP1,1.0,False,RIP-mediated NFkB activation via ZBP1,17,8,1,11004,0.125,0.058823529411764705,query_1,['REAC:R-HSA-1606322'],['NFKB2'],[['REAC']],1.0,-0.0,1,Immune signaling
REAC,REAC:R-HSA-5620971,Pyroptosis,1.0,False,Pyroptosis,27,8,1,11004,0.125,0.037037037037037035,query_1,['REAC:R-HSA-5218859'],['IL1B'],[['REAC']],1.0,-0.0,1,Cell death
WP,WP:WP5345,1p36 copy number variation syndrome,1.0,False,1p36 copy number variation syndrome,102,10,1,8752,0.1,0.00980392156862745,query_1,['WP:000000'],['IFIH1'],[['WP']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-9692916,SARS-CoV-1 activates/modulates innate immune responses,1.0,False,SARS-CoV-1 activates/modulates innate immune responses,40,8,1,11004,0.125,0.025,query_1,['REAC:R-HSA-9692914'],['IFIH1'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-5357801,Programmed Cell Death,1.0,False,Programmed Cell Death,208,8,1,11004,0.125,0.004807692307692308,query_1,['REAC:0000000'],['IL1B'],[['REAC']],1.0,-0.0,1,Cell death
REAC,REAC:R-HSA-432142,Platelet sensitization by LDL,1.0,False,Platelet sensitization by LDL,17,8,1,11004,0.125,0.058823529411764705,query_1,['REAC:R-HSA-418346'],['PTPN6'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-418346,Platelet homeostasis,1.0,False,Platelet homeostasis,85,8,1,11004,0.125,0.011764705882352941,query_1,['REAC:R-HSA-109582'],['PTPN6'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-76002,"Platelet activation, signaling and aggregation",1.0,False,"Platelet activation, signaling and aggregation",259,8,1,11004,0.125,0.003861003861003861,query_1,['REAC:R-HSA-109582'],['PTPN6'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-9824443,Parasitic Infection Pathways,1.0,False,Parasitic Infection Pathways,214,8,2,11004,0.25,0.009345794392523364,query_1,['REAC:R-HSA-5663205'],"['IL1B', 'NFKB2']","[['REAC'], ['REAC']]",1.0,-0.0,2,Other
REAC,REAC:R-HSA-3214841,PKMTs methylate histone lysines,1.0,False,PKMTs methylate histone lysines,70,8,1,11004,0.125,0.014285714285714285,query_1,['REAC:R-HSA-3247509'],['NFKB2'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-210990,PECAM1 interactions,1.0,False,PECAM1 interactions,11,8,1,11004,0.125,0.09090909090909091,query_1,['REAC:R-HSA-202733'],['PTPN6'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-5689896,Ovarian tumor domain proteases,1.0,False,Ovarian tumor domain proteases,39,8,1,11004,0.125,0.02564102564102564,query_1,['REAC:R-HSA-5688426'],['IFIH1'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-168643,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",1.0,False,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",55,8,1,11004,0.125,0.01818181818181818,query_1,['REAC:R-HSA-168249'],['NFKB2'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-9725371,Nuclear events stimulated by ALK signaling in cancer,1.0,False,Nuclear events stimulated by ALK signaling in cancer,32,8,1,11004,0.125,0.03125,query_1,['REAC:R-HSA-9725370'],['PTPN6'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-6798695,Neutrophil degranulation,1.0,False,Neutrophil degranulation,476,8,1,11004,0.125,0.0021008403361344537,query_1,['REAC:R-HSA-168249'],['PTPN6'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-936440,Negative regulators of DDX58/IFIH1 signaling,1.0,False,Negative regulators of DDX58/IFIH1 signaling,35,8,1,11004,0.125,0.02857142857142857,query_1,['REAC:R-HSA-168928'],['IFIH1'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-5676590,NIK-->noncanonical NF-kB signaling,1.0,False,NIK-->noncanonical NF-kB signaling,59,8,1,11004,0.125,0.01694915254237288,query_1,['REAC:R-HSA-5668541'],['NFKB2'],[['REAC']],1.0,-0.0,1,Immune signaling
REAC,REAC:R-HSA-933543,NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10,1.0,False,NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10,13,8,1,11004,0.125,0.07692307692307693,query_1,['REAC:R-HSA-168928'],['IFIH1'],[['REAC']],1.0,-0.0,1,Immune signaling
REAC,REAC:R-HSA-597592,Post-translational protein modification,1.0,False,Post-translational protein modification,1451,8,2,11004,0.25,0.0013783597518952446,query_1,['REAC:R-HSA-392499'],"['IFIH1', 'NFKB2']","[['REAC'], ['REAC']]",1.0,-0.0,2,Other
REAC,REAC:R-HSA-168176,Toll Like Receptor 5 (TLR5) Cascade,1.0,False,Toll Like Receptor 5 (TLR5) Cascade,95,8,1,11004,0.125,0.010526315789473684,query_1,['REAC:R-HSA-168898'],['NFKB2'],[['REAC']],1.0,-0.0,1,Immune signaling
REAC,REAC:R-HSA-9692914,SARS-CoV-1-host interactions,1.0,False,SARS-CoV-1-host interactions,95,8,1,11004,0.125,0.010526315789473684,query_1,['REAC:R-HSA-9678108'],['IFIH1'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-9694516,SARS-CoV-2 Infection,1.0,False,SARS-CoV-2 Infection,292,8,2,11004,0.25,0.00684931506849315,query_1,['REAC:R-HSA-9679506'],"['PTPN6', 'IFIH1']","[['REAC'], ['REAC']]",1.0,-0.0,2,Other
REAC,REAC:R-HSA-168164,Toll Like Receptor 3 (TLR3) Cascade,1.0,False,Toll Like Receptor 3 (TLR3) Cascade,103,8,1,11004,0.125,0.009708737864077669,query_1,['REAC:R-HSA-168898'],['NFKB2'],[['REAC']],1.0,-0.0,1,Immune signaling
REAC,REAC:R-HSA-181438,Toll Like Receptor 2 (TLR2) Cascade,1.0,False,Toll Like Receptor 2 (TLR2) Cascade,114,8,1,11004,0.125,0.008771929824561403,query_1,['REAC:R-HSA-168898'],['NFKB2'],[['REAC']],1.0,-0.0,1,Immune signaling
REAC,REAC:R-HSA-168142,Toll Like Receptor 10 (TLR10) Cascade,1.0,False,Toll Like Receptor 10 (TLR10) Cascade,95,8,1,11004,0.125,0.010526315789473684,query_1,['REAC:R-HSA-168898'],['NFKB2'],[['REAC']],1.0,-0.0,1,Immune signaling
REAC,REAC:R-HSA-844456,The NLRP3 inflammasome,1.0,False,The NLRP3 inflammasome,15,8,1,11004,0.125,0.06666666666666667,query_1,['REAC:R-HSA-622312'],['NFKB2'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-937061,TRIF (TICAM1)-mediated TLR4 signaling ,1.0,False,TRIF (TICAM1)-mediated TLR4 signaling ,107,8,1,11004,0.125,0.009345794392523364,query_1,['REAC:R-HSA-166166'],['NFKB2'],[['REAC']],1.0,-0.0,1,Immune signaling
REAC,REAC:R-HSA-975138,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,1.0,False,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,100,8,1,11004,0.125,0.01,query_1,['REAC:R-HSA-975155'],['NFKB2'],[['REAC']],1.0,-0.0,1,Immune signaling
WP,WP:WP5130,Th17 cell differentiation pathway,1.0,False,Th17 cell differentiation pathway,69,10,1,8752,0.1,0.014492753623188406,query_1,['WP:000000'],['IL1B'],[['WP']],1.0,-0.0,1,Other
WP,WP:WP5144,NRP1 triggered signaling in pancreatic cancer ,1.0,False,NRP1 triggered signaling in pancreatic cancer ,53,10,1,8752,0.1,0.018867924528301886,query_1,['WP:000000'],['NFKB2'],[['WP']],1.0,-0.0,1,Other
WP,WP:WP5158,Urotensin II mediated signaling,1.0,False,Urotensin II mediated signaling,69,10,1,8752,0.1,0.014492753623188406,query_1,['WP:000000'],['IL1B'],[['WP']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-933541,TRAF6 mediated IRF7 activation,1.0,False,TRAF6 mediated IRF7 activation,30,8,1,11004,0.125,0.03333333333333333,query_1,['REAC:R-HSA-168928'],['IFIH1'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-918233,TRAF3-dependent IRF activation pathway,1.0,False,TRAF3-dependent IRF activation pathway,15,8,1,11004,0.125,0.06666666666666667,query_1,['REAC:R-HSA-168928'],['IFIH1'],[['REAC']],1.0,-0.0,1,Other
WP,WP:WP5187,mRNA vaccine activation of dendritic cell and induction of IFN 1,1.0,False,mRNA vaccine activation of dendritic cell and induction of IFN 1,10,10,1,8752,0.1,0.1,query_1,['WP:000000'],['IFIH1'],[['WP']],1.0,-0.0,1,Interferon/antiviral
REAC,REAC:R-HSA-5676594,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,1.0,False,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,16,8,1,11004,0.125,0.0625,query_1,['REAC:R-HSA-5668541'],['LTB'],[['REAC']],1.0,-0.0,1,Immune signaling
WP,WP:WP5285,Immune infiltration in pancreatic cancer,1.0,False,Immune infiltration in pancreatic cancer,39,10,1,8752,0.1,0.02564102564102564,query_1,['WP:000000'],['IL1B'],[['WP']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-445989,TAK1-dependent IKK and NF-kappa-B activation  ,1.0,False,TAK1-dependent IKK and NF-kappa-B activation  ,44,8,1,11004,0.125,0.022727272727272728,query_1,"['REAC:R-HSA-166058', 'REAC:R-HSA-168164', 'REAC:R-HSA-9020702', 'REAC:R-HSA-937061', 'REAC:R-HSA-975138', 'REAC:R-HSA-975871']",['NFKB2'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-983705,Signaling by the B Cell Receptor (BCR),1.0,False,Signaling by the B Cell Receptor (BCR),163,8,1,11004,0.125,0.006134969325153374,query_1,['REAC:R-HSA-1280218'],['PTPN6'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-1433557,Signaling by SCF-KIT,1.0,False,Signaling by SCF-KIT,39,8,1,11004,0.125,0.02564102564102564,query_1,['REAC:R-HSA-9006934'],['PTPN6'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,1.0,False,Signaling by Receptor Tyrosine Kinases,516,8,1,11004,0.125,0.001937984496124031,query_1,['REAC:R-HSA-162582'],['PTPN6'],[['REAC']],1.0,-0.0,1,Other
WP,WP:WP5224,2q37 copy number variation syndrome,1.0,False,2q37 copy number variation syndrome,142,10,1,8752,0.1,0.007042253521126761,query_1,['WP:000000'],['IL1B'],[['WP']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-9700206,Signaling by ALK in cancer,1.0,False,Signaling by ALK in cancer,89,8,1,11004,0.125,0.011235955056179775,query_1,['REAC:R-HSA-5663202'],['PTPN6'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-9725370,Signaling by ALK fusions and activated point mutants,1.0,False,Signaling by ALK fusions and activated point mutants,89,8,1,11004,0.125,0.011235955056179775,query_1,['REAC:R-HSA-9700206'],['PTPN6'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-201556,Signaling by ALK,1.0,False,Signaling by ALK,28,8,1,11004,0.125,0.03571428571428571,query_1,['REAC:R-HSA-9006934'],['PTPN6'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-391160,Signal regulatory protein family interactions,1.0,False,Signal regulatory protein family interactions,14,8,1,11004,0.125,0.07142857142857142,query_1,['REAC:R-HSA-1500931'],['PTPN6'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-162582,Signal Transduction,1.0,False,Signal Transduction,2558,8,1,11004,0.125,0.00039093041438623924,query_1,['REAC:0000000'],['PTPN6'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-4755510,SUMOylation of immune response proteins,1.0,False,SUMOylation of immune response proteins,12,8,1,11004,0.125,0.08333333333333333,query_1,['REAC:R-HSA-3108232'],['NFKB2'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-2990846,SUMOylation,1.0,False,SUMOylation,178,8,1,11004,0.125,0.0056179775280898875,query_1,['REAC:R-HSA-597592'],['NFKB2'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,1.0,False,SUMO E3 ligases SUMOylate target proteins,172,8,1,11004,0.125,0.005813953488372093,query_1,['REAC:R-HSA-2990846'],['NFKB2'],[['REAC']],1.0,-0.0,1,Other
REAC,REAC:R-HSA-9705683,SARS-CoV-2-host interactions,1.0,False,SARS-CoV-2-host interactions,197,8,2,11004,0.25,0.01015228426395939,query_1,['REAC:R-HSA-9694516'],"['PTPN6', 'IFIH1']","[['REAC'], ['REAC']]",1.0,-0.0,2,Other
WP,WP:WP5222,2q13 copy number variation syndrome,1.0,False,2q13 copy number variation syndrome,62,10,1,8752,0.1,0.016129032258064516,query_1,['WP:000000'],['IL1B'],[['WP']],1.0,-0.0,1,Other
HP,HP:0002673,Coxa valga,1.0,False,Coxa valga is a deformity of the hip in which the angle between the femoral shaft and the femoral neck is increased compared to age-adjusted values (about 150 degrees in newborns gradually reducing to 120-130 degrees in adults).,91,5,1,5080,0.2,0.01098901098901099,query_1,['HP:0003367'],['IFIH1'],[['HP']],1.0,-0.0,1,Other
HP,HP:0002721,Immunodeficiency,1.0,False,"Failure of the immune system to protect the body adequately from infection, due to the absence or insufficiency of some component process or substance.",220,5,2,5080,0.4,0.00909090909090909,query_1,['HP:0010978'],"['NFKB2', 'CD40']","[['HP'], ['HP']]",1.0,-0.0,2,Other
HP,HP:0002684,Thickened calvaria,1.0,False,The presence of an abnormally thick calvaria.,41,5,1,5080,0.2,0.024390243902439025,query_1,['HP:0002683'],['IFIH1'],[['HP']],1.0,-0.0,1,Other
HP,HP:0025756,Abnormal nail attachment,1.0,False,An anomaly of the connection of the nail to the nailbed.,24,5,1,5080,0.2,0.041666666666666664,query_1,['HP:0001597'],['IFIH1'],[['HP']],1.0,-0.0,1,Other
HP,HP:0025616,Sterile abscess,1.0,False,"An abscess not caused by infection with pyogenic bacteria. Operationally, a sterile abscess is inferred if investigations of an abscess fail to reveal evidence of pathogenic organisms.",5,5,1,5080,0.2,0.2,query_1,['HP:0025615'],['PTPN6'],[['HP']],1.0,-0.0,1,Other
WP,WP:WP3863,T cell antigen receptor TCR pathway during Staphylococcus aureus infection,1.0,False,T cell antigen receptor TCR pathway during Staphylococcus aureus infection,62,10,1,8752,0.1,0.016129032258064516,query_1,['WP:000000'],['PTPN6'],[['WP']],1.0,-0.0,1,Antigen presentation
HP,HP:0025615,Abscess,1.0,False,An abscess is a localized collection of purulent material surrounded by inflammation and granulation.,76,5,1,5080,0.2,0.013157894736842105,query_1,['HP:0032251'],['PTPN6'],[['HP']],1.0,-0.0,1,Other
HP,HP:0025474,Erythematous plaque,1.0,False,"A plaque (a solid, raised, plateau-like (flat-topped) lesion greater than 1 cm in diameter) with a red or reddish color often associated with inflammation or irritation.",15,5,1,5080,0.2,0.06666666666666667,query_1,['HP:0200035'],['PTPN6'],[['HP']],1.0,-0.0,1,Other
HP,HP:0025454,Abnormal CSF metabolite concentration,1.0,False,Any deviation from the normal range of concentration of a metabolite in the cerebrospinal fluid.,159,5,1,5080,0.2,0.006289308176100629,query_1,"['HP:0001939', 'HP:0002921']",['IFIH1'],[['HP']],1.0,-0.0,1,Other
HP,HP:0025452,Pyoderma gangrenosum,1.0,False,"A deep skin ulcer with a well defined border, which is usually violet or blue. The ulcer edge is often undermined (worn and damaged) and the surrounding skin is erythematous and indurated. The ulcer often starts as a small papule or collection of papules, which break down to form small ulcers with a so called cat's paw appearance. These coalesce and the central area then undergoes necrosis to form a single ulcer.",11,5,1,5080,0.2,0.09090909090909091,query_1,['HP:0200042'],['PTPN6'],[['HP']],1.0,-0.0,1,Other
WP,WP:WP3865,Novel intracellular components of RIG I like receptor pathway,1.0,False,Novel intracellular components of RIG I like receptor pathway,60,10,1,8752,0.1,0.016666666666666666,query_1,['WP:000000'],['IFIH1'],[['WP']],1.0,-0.0,1,Other
HP,HP:0025439,Pharyngitis,1.0,False,Inflammation (due to infection or irritation) of the pharynx.,17,5,1,5080,0.2,0.058823529411764705,query_1,['HP:0033151'],['NFKB2'],[['HP']],1.0,-0.0,1,Other
HP,HP:0025426,Abnormal bronchus morphology,1.0,False,"Any structural anomaly of the bronchi, i.e., of the airways leading from the trachea to the lungs.",217,5,1,5080,0.2,0.004608294930875576,query_1,['HP:0005607'],['NFKB2'],[['HP']],1.0,-0.0,1,Other
WP,WP:WP3888,VEGFA VEGFR2 signaling,1.0,False,VEGFA VEGFR2 signaling,430,10,1,8752,0.1,0.002325581395348837,query_1,['WP:000000'],['PTPN6'],[['WP']],1.0,-0.0,1,Other
HP,HP:0025408,Abnormal spleen morphology,1.0,False,Any anomaly of the structure of the spleen.,608,5,2,5080,0.4,0.003289473684210526,query_1,['HP:0001743'],"['IFIH1', 'NFKB2']","[['HP'], ['HP']]",1.0,-0.0,2,Other
HP,HP:0025379,Anti-thyroid peroxidase antibody positivity,1.0,False,The presence of autoantibodies (immunoglobulins) in the serum that react against thyroid peroxidase.,11,5,1,5080,0.2,0.09090909090909091,query_1,['HP:0430050'],['NFKB2'],[['HP']],1.0,-0.0,1,Other
WP,WP:WP3890,Nanomaterial induced inflammasome activation,1.0,False,Nanomaterial induced inflammasome activation,7,10,1,8752,0.1,0.14285714285714285,query_1,['WP:000000'],['IL1B'],[['WP']],1.0,-0.0,1,Other
HP,HP:0025354,Abnormal cellular phenotype,1.0,False,An anomaly of cellular morphology or physiology.,678,5,3,5080,0.6,0.004424778761061947,query_1,['HP:0000118'],"['IFIH1', 'NFKB2', 'CD40']","[['HP'], ['HP'], ['HP']]",1.0,-0.0,3,Other
HP,HP:0025323,Abnormal arterial physiology,1.0,False,An anomaly of arterial function.,180,5,1,5080,0.2,0.005555555555555556,query_1,['HP:0030163'],['IFIH1'],[['HP']],1.0,-0.0,1,Other
HP,HP:0025179,Ground-glass opacification,1.0,False,"On chest radiographs, ground-glass opacity appears as an area of hazy increased lung opacity, usually extensive, within which margins of pulmonary vessels may be indistinct. On CT scans, it appears as hazy increased opacity of lung, with preservation of bronchial and vascular margins. It is caused by partial filling of airspaces, interstitial thickening (due to fluid, cells, and/or fibrosis), partial collapse of alveoli, increased capillary blood volume, or a combination of these, the common factor being the partial displacement of air. Ground-glass opacity is less opaque than consolidation, in which bronchovascular margins are obscured.",24,5,1,5080,0.2,0.041666666666666664,query_1,['HP:0031457'],['IFIH1'],[['HP']],1.0,-0.0,1,Other
HP,HP:0025142,Constitutional symptom,1.0,False,A symptom or manifestation indicating a systemic or general effect of a disease and that may affect the general well-being or status of an individual.,1276,5,2,5080,0.4,0.001567398119122257,query_1,['HP:0000118'],"['PTPN6', 'NFKB2']","[['HP'], ['HP']]",1.0,-0.0,2,Other
HP,HP:0025085,Bloody diarrhea,1.0,False,Passage of many stools containing blood.,51,5,1,5080,0.2,0.0196078431372549,query_1,['HP:0002014'],['IFIH1'],[['HP']],1.0,-0.0,1,Other
HP,HP:0025033,Abnormal digestive system morphology,1.0,False,A structural anomaly of the digestive system.,1044,5,4,5080,0.8,0.0038314176245210726,query_1,['HP:0025031'],"['PTPN6', 'IFIH1', 'IL1B', 'NFKB2']","[['HP'], ['HP'], ['HP'], ['HP']]",1.0,-0.0,4,Other
HP,HP:0025032,Abnormality of digestive system physiology,1.0,False,A functional anomaly of the digestive system.,2369,5,3,5080,0.6,0.001266357112705783,query_1,['HP:0025031'],"['PTPN6', 'IFIH1', 'NFKB2']","[['HP'], ['HP'], ['HP']]",1.0,-0.0,3,Other
HP,HP:0025031,Abnormality of the digestive system,1.0,False,Abnormality of the digestive system,2997,5,4,5080,0.8,0.001334668001334668,query_1,['HP:0000118'],"['PTPN6', 'IFIH1', 'IL1B', 'NFKB2']","[['HP'], ['HP'], ['HP'], ['HP']]",1.0,-0.0,4,Other
