Term_ID	Term	Source	Gene
REAC:R-HSA-5603029	IkBA variant leads to EDA-ID	REAC	NFKB2
REAC:R-HSA-109582	Hemostasis	REAC	SERPINB2
REAC:R-HSA-109582	Hemostasis	REAC	PTPN6
REAC:R-HSA-982772	Growth hormone receptor signaling	REAC	PTPN6
REAC:R-HSA-8950505	Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation	REAC	SERPINB2
REAC:R-HSA-114604	GPVI-mediated activation cascade	REAC	PTPN6
REAC:R-HSA-9833109	Evasion by RSV of host interferon responses	REAC	IFIH1
WP:WP5434	Cancer pathways	WP	NFKB2
WP:WP5440	EPAC1 and PKA reduction of retinal inflammation	WP	IL1B
REAC:R-HSA-913531	Interferon Signaling	REAC	XAF1
REAC:R-HSA-913531	Interferon Signaling	REAC	PTPN6
GO:2001236	regulation of extrinsic apoptotic signaling pathway	GO:BP	IL1B
GO:2001236	regulation of extrinsic apoptotic signaling pathway	GO:BP	LTB
GO:2001235	positive regulation of apoptotic signaling pathway	GO:BP	LTB
GO:2001234	negative regulation of apoptotic signaling pathway	GO:BP	IL1B
GO:1903556	negative regulation of tumor necrosis factor superfamily cytokine production	GO:BP	PTPN6
GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	GO:BP	PTPN6
GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	GO:BP	IFIH1
GO:1903532	positive regulation of secretion by cell	GO:BP	IL1B
GO:1903531	negative regulation of secretion by cell	GO:BP	IL1B
GO:1903530	regulation of secretion by cell	GO:BP	IL1B
GO:1903169	regulation of calcium ion transmembrane transport	GO:BP	PTPN6
WP:WP706	Sudden infant death syndrome SIDS susceptibility pathways	WP	IL1B
WP:WP706	Sudden infant death syndrome SIDS susceptibility pathways	WP	NFKB2
GO:1903140	regulation of establishment of endothelial barrier	GO:BP	IL1B
GO:1903131	mononuclear cell differentiation	GO:BP	PTPN6
GO:1903131	mononuclear cell differentiation	GO:BP	IL1B
GO:1903047	mitotic cell cycle process	GO:BP	PTPN6
GO:1903047	mitotic cell cycle process	GO:BP	IL1B
GO:1903039	positive regulation of leukocyte cell-cell adhesion	GO:BP	PTPN6
GO:1903039	positive regulation of leukocyte cell-cell adhesion	GO:BP	IL1B
GO:1903038	negative regulation of leukocyte cell-cell adhesion	GO:BP	PTPN6
GO:1903037	regulation of leukocyte cell-cell adhesion	GO:BP	PTPN6
GO:1903037	regulation of leukocyte cell-cell adhesion	GO:BP	IL1B
GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	GO:BP	IFIH1
GO:1903035	negative regulation of response to wounding	GO:BP	SERPINB2
GO:1903035	negative regulation of response to wounding	GO:BP	PTPN6
GO:1902806	regulation of cell cycle G1/S phase transition	GO:BP	PTPN6
GO:1902680	positive regulation of RNA biosynthetic process	GO:BP	IL1B
GO:1902680	positive regulation of RNA biosynthetic process	GO:BP	NFKB2
GO:1902680	positive regulation of RNA biosynthetic process	GO:BP	CD40
GO:1902533	positive regulation of intracellular signal transduction	GO:BP	PTPN6
GO:1902533	positive regulation of intracellular signal transduction	GO:BP	IL1B
GO:1902533	positive regulation of intracellular signal transduction	GO:BP	CD40
GO:1902533	positive regulation of intracellular signal transduction	GO:BP	LTB
GO:1902532	negative regulation of intracellular signal transduction	GO:BP	PTPN6
GO:1902532	negative regulation of intracellular signal transduction	GO:BP	IL1B
GO:1902531	regulation of intracellular signal transduction	GO:BP	PTPN6
GO:1902531	regulation of intracellular signal transduction	GO:BP	IL1B
GO:1902531	regulation of intracellular signal transduction	GO:BP	CD40
GO:1902531	regulation of intracellular signal transduction	GO:BP	LTB
GO:1902105	regulation of leukocyte differentiation	GO:BP	PTPN6
GO:1901990	regulation of mitotic cell cycle phase transition	GO:BP	PTPN6
GO:1901987	regulation of cell cycle phase transition	GO:BP	PTPN6
GO:1901889	negative regulation of cell junction assembly	GO:BP	IL1B
GO:1901888	regulation of cell junction assembly	GO:BP	IL1B
GO:1901701	cellular response to oxygen-containing compound	GO:BP	IL1B
GO:1901701	cellular response to oxygen-containing compound	GO:BP	CD40
WP:WP710	DNA damage response only ATM dependent 	WP	NFKB2
GO:1901700	response to oxygen-containing compound	GO:BP	IL1B
GO:1901700	response to oxygen-containing compound	GO:BP	NFKB2
GO:1901700	response to oxygen-containing compound	GO:BP	CD40
GO:1903034	regulation of response to wounding	GO:BP	SERPINB2
GO:1903034	regulation of response to wounding	GO:BP	PTPN6
REAC:R-HSA-975871	MyD88 cascade initiated on plasma membrane	REAC	NFKB2
GO:1903596	regulation of gap junction assembly	GO:BP	IL1B
GO:1903706	regulation of hemopoiesis	GO:BP	PTPN6
GO:2001233	regulation of apoptotic signaling pathway	GO:BP	IL1B
GO:2001233	regulation of apoptotic signaling pathway	GO:BP	LTB
GO:2001141	regulation of RNA biosynthetic process	GO:BP	IL1B
GO:2001141	regulation of RNA biosynthetic process	GO:BP	NFKB2
GO:2001141	regulation of RNA biosynthetic process	GO:BP	CD40
GO:2001057	reactive nitrogen species metabolic process	GO:BP	IL1B
GO:2000556	positive regulation of T-helper 1 cell cytokine production	GO:BP	IL1B
GO:2000554	regulation of T-helper 1 cell cytokine production	GO:BP	IL1B
GO:2000353	positive regulation of endothelial cell apoptotic process	GO:BP	CD40
GO:2000351	regulation of endothelial cell apoptotic process	GO:BP	CD40
GO:2000193	positive regulation of fatty acid transport	GO:BP	IL1B
GO:2000191	regulation of fatty acid transport	GO:BP	IL1B
GO:2000181	negative regulation of blood vessel morphogenesis	GO:BP	PTPN6
GO:2000147	positive regulation of cell motility	GO:BP	IL1B
GO:2000147	positive regulation of cell motility	GO:BP	CD40
GO:2000145	regulation of cell motility	GO:BP	IL1B
GO:2000145	regulation of cell motility	GO:BP	CD40
GO:2000045	regulation of G1/S transition of mitotic cell cycle	GO:BP	PTPN6
GO:1903597	negative regulation of gap junction assembly	GO:BP	IL1B
GO:2000026	regulation of multicellular organismal development	GO:BP	PTPN6
GO:2000026	regulation of multicellular organismal development	GO:BP	IL1B
GO:2000026	regulation of multicellular organismal development	GO:BP	CD40
GO:1905954	positive regulation of lipid localization	GO:BP	IL1B
GO:1905952	regulation of lipid localization	GO:BP	IL1B
GO:1905867	epididymis development	GO:BP	PTPN6
GO:1904951	positive regulation of establishment of protein localization	GO:BP	IL1B
GO:1904950	negative regulation of establishment of protein localization	GO:BP	IL1B
WP:WP619	Type II interferon signaling	WP	IL1B
GO:1904659	D-glucose transmembrane transport	GO:BP	IL1B
GO:1904407	positive regulation of nitric oxide metabolic process	GO:BP	IL1B
GO:1904062	regulation of monoatomic cation transmembrane transport	GO:BP	PTPN6
GO:1904018	positive regulation of vasculature development	GO:BP	IL1B
GO:1904018	positive regulation of vasculature development	GO:BP	CD40
GO:1903900	regulation of viral life cycle	GO:BP	IFIH1
GO:1903829	positive regulation of protein localization	GO:BP	IL1B
GO:1903828	negative regulation of protein localization	GO:BP	IL1B
GO:1990266	neutrophil migration	GO:BP	IL1B
REAC:R-HSA-975155	MyD88 dependent cascade initiated on endosome	REAC	NFKB2
REAC:R-HSA-166166	MyD88-independent TLR4 cascade 	REAC	NFKB2
REAC:R-HSA-166058	MyD88:MAL(TIRAP) cascade initiated on plasma membrane	REAC	NFKB2
HP:0000164	Abnormality of the dentition	HP	IFIH1
HP:0000163	Abnormal oral cavity morphology	HP	IFIH1
HP:0000159	Abnormal lip morphology	HP	IFIH1
WP:WP5124	Alzheimer 39 s disease	WP	IL1B
HP:0000153	Abnormality of the mouth	HP	IFIH1
HP:0000152	Abnormality of head or neck	HP	PTPN6
HP:0000152	Abnormality of head or neck	HP	IFIH1
HP:0000152	Abnormality of head or neck	HP	NFKB2
HP:0000119	Abnormality of the genitourinary system	HP	IFIH1
HP:0000119	Abnormality of the genitourinary system	HP	IL1B
HP:0000118	Phenotypic abnormality	HP	PTPN6
HP:0000118	Phenotypic abnormality	HP	IFIH1
HP:0000118	Phenotypic abnormality	HP	IL1B
HP:0000118	Phenotypic abnormality	HP	NFKB2
HP:0000118	Phenotypic abnormality	HP	CD40
HP:0000100	Nephrotic syndrome	HP	IFIH1
HP:0000079	Abnormality of the urinary system	HP	IFIH1
HP:0000079	Abnormality of the urinary system	HP	IL1B
HP:0000078	Abnormality of the genital system	HP	IFIH1
HP:0000077	Abnormality of the kidney	HP	IFIH1
HP:0000054	Micropenis	HP	IFIH1
HP:0000177	Abnormal upper lip morphology	HP	IFIH1
HP:0000050	Hypoplastic male external genitalia	HP	IFIH1
HP:0000032	Abnormal male external genitalia morphology	HP	IFIH1
HP:0000007	Autosomal recessive inheritance	HP	IFIH1
HP:0000007	Autosomal recessive inheritance	HP	CD40
HP:0000006	Autosomal dominant inheritance	HP	IFIH1
HP:0000006	Autosomal dominant inheritance	HP	NFKB2
HP:0000005	Mode of inheritance	HP	IFIH1
HP:0000005	Mode of inheritance	HP	IL1B
HP:0000005	Mode of inheritance	HP	NFKB2
HP:0000005	Mode of inheritance	HP	CD40
HP:0000002	Abnormality of body height	HP	IFIH1
HP:0000001	HP root	HP	PTPN6
HP:0000001	HP root	HP	IFIH1
HP:0000001	HP root	HP	IL1B
HP:0000001	HP root	HP	NFKB2
HP:0000001	HP root	HP	CD40
REAC:0000000	REACTOME root term	REAC	SERPINB2
REAC:0000000	REACTOME root term	REAC	XAF1
REAC:0000000	REACTOME root term	REAC	SLAMF7
REAC:0000000	REACTOME root term	REAC	PTPN6
REAC:0000000	REACTOME root term	REAC	IFIH1
REAC:0000000	REACTOME root term	REAC	IL1B
REAC:0000000	REACTOME root term	REAC	NFKB2
REAC:0000000	REACTOME root term	REAC	LTB
REAC:R-HSA-1606322	ZBP1(DAI) mediated induction of type I IFNs	REAC	NFKB2
REAC:R-HSA-9824446	Viral Infection Pathways	REAC	PTPN6
REAC:R-HSA-9824446	Viral Infection Pathways	REAC	IFIH1
REAC:R-HSA-5689880	Ub-specific processing proteases	REAC	IFIH1
REAC:R-HSA-168898	Toll-like Receptor Cascades	REAC	NFKB2
REAC:R-HSA-168188	Toll Like Receptor TLR6:TLR2 Cascade	REAC	NFKB2
REAC:R-HSA-168179	Toll Like Receptor TLR1:TLR2 Cascade	REAC	NFKB2
HP:0000036	Abnormal penis morphology	HP	IFIH1
REAC:R-HSA-168138	Toll Like Receptor 9 (TLR9) Cascade	REAC	NFKB2
HP:0000219	Thin upper lip vermilion	HP	IFIH1
HP:0000234	Abnormality of the head	HP	PTPN6
HP:0000234	Abnormality of the head	HP	IFIH1
HP:0000234	Abnormality of the head	HP	NFKB2
HP:0000492	Abnormal eyelid morphology	HP	IFIH1
HP:0000478	Abnormality of the eye	HP	IFIH1
HP:0000478	Abnormality of the eye	HP	NFKB2
HP:0000464	Abnormality of the neck	HP	PTPN6
HP:0000444	Convex nasal ridge	HP	IFIH1
WP:WP5113	Antiviral and anti inflammatory effects of Nrf2 on SARS CoV 2 pathway	WP	IL1B
HP:0002665	Lymphoma	HP	NFKB2
HP:0000389	Chronic otitis media	HP	NFKB2
HP:0000388	Otitis media	HP	NFKB2
HP:0000377	Abnormal pinna morphology	HP	IFIH1
HP:0000370	Abnormality of the middle ear	HP	NFKB2
HP:0000369	Low-set ears	HP	IFIH1
HP:0000366	Abnormality of the nose	HP	IFIH1
HP:0000366	Abnormality of the nose	HP	NFKB2
HP:0000357	Abnormal location of ears	HP	IFIH1
HP:0000233	Thin vermilion border	HP	IFIH1
HP:0000356	Abnormality of the outer ear	HP	IFIH1
HP:0000337	Broad forehead	HP	IFIH1
HP:0000327	Hypoplasia of the maxilla	HP	IFIH1
HP:0000326	Abnormal maxilla morphology	HP	IFIH1
HP:0000319	Smooth philtrum	HP	IFIH1
HP:0000315	Abnormality of the orbital region	HP	IFIH1
HP:0000290	Abnormal forehead morphology	HP	IFIH1
HP:0000288	Abnormality of the philtrum	HP	IFIH1
HP:0000271	Abnormality of the face	HP	PTPN6
HP:0000271	Abnormality of the face	HP	IFIH1
HP:0000271	Abnormality of the face	HP	NFKB2
HP:0000252	Microcephaly	HP	IFIH1
HP:0000248	Brachycephaly	HP	NFKB2
HP:0000246	Sinusitis	HP	NFKB2
HP:0000245	Abnormal paranasal sinus morphology	HP	NFKB2
HP:0000240	Abnormality of skull size	HP	IFIH1
WP:WP5120	Inclusion body myositis	WP	NFKB2
HP:0000501	Glaucoma	HP	IFIH1
REAC:R-HSA-168181	Toll Like Receptor 7/8 (TLR7/8) Cascade	REAC	NFKB2
REAC:R-HSA-166016	Toll Like Receptor 4 (TLR4) Cascade	REAC	NFKB2
REAC:R-HSA-9678108	SARS-CoV-1 Infection	REAC	IFIH1
WP:WP530	Cytokines and inflammatory response	WP	IL1B
REAC:R-HSA-9679506	SARS-CoV Infections	REAC	PTPN6
REAC:R-HSA-9679506	SARS-CoV Infections	REAC	IFIH1
REAC:R-HSA-9820952	Respiratory Syncytial Virus Infection Pathway	REAC	IFIH1
REAC:R-HSA-388841	Regulation of T cell activation by CD28 family	REAC	PTPN6
REAC:R-HSA-1433559	Regulation of KIT signaling	REAC	PTPN6
REAC:R-HSA-877312	Regulation of IFNG signaling	REAC	PTPN6
REAC:R-HSA-912694	Regulation of IFNA/IFNB signaling	REAC	PTPN6
REAC:R-HSA-5218859	Regulated Necrosis	REAC	IL1B
REAC:R-HSA-9833110	RSV-host interactions	REAC	IFIH1
REAC:R-HSA-1810476	RIP-mediated NFkB activation via ZBP1	REAC	NFKB2
REAC:R-HSA-5620971	Pyroptosis	REAC	IL1B
WP:WP5345	1p36 copy number variation syndrome	WP	IFIH1
REAC:R-HSA-9692916	SARS-CoV-1 activates/modulates innate immune responses	REAC	IFIH1
REAC:R-HSA-5357801	Programmed Cell Death	REAC	IL1B
REAC:R-HSA-432142	Platelet sensitization by LDL	REAC	PTPN6
REAC:R-HSA-418346	Platelet homeostasis	REAC	PTPN6
REAC:R-HSA-76002	Platelet activation, signaling and aggregation	REAC	PTPN6
REAC:R-HSA-9824443	Parasitic Infection Pathways	REAC	IL1B
REAC:R-HSA-9824443	Parasitic Infection Pathways	REAC	NFKB2
REAC:R-HSA-3214841	PKMTs methylate histone lysines	REAC	NFKB2
REAC:R-HSA-210990	PECAM1 interactions	REAC	PTPN6
REAC:R-HSA-5689896	Ovarian tumor domain proteases	REAC	IFIH1
REAC:R-HSA-168643	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	REAC	NFKB2
REAC:R-HSA-9725371	Nuclear events stimulated by ALK signaling in cancer	REAC	PTPN6
REAC:R-HSA-6798695	Neutrophil degranulation	REAC	PTPN6
REAC:R-HSA-936440	Negative regulators of DDX58/IFIH1 signaling	REAC	IFIH1
REAC:R-HSA-5676590	NIK-->noncanonical NF-kB signaling	REAC	NFKB2
REAC:R-HSA-933543	NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10	REAC	IFIH1
REAC:R-HSA-597592	Post-translational protein modification	REAC	IFIH1
REAC:R-HSA-597592	Post-translational protein modification	REAC	NFKB2
REAC:R-HSA-168176	Toll Like Receptor 5 (TLR5) Cascade	REAC	NFKB2
REAC:R-HSA-9692914	SARS-CoV-1-host interactions	REAC	IFIH1
REAC:R-HSA-9694516	SARS-CoV-2 Infection	REAC	PTPN6
REAC:R-HSA-9694516	SARS-CoV-2 Infection	REAC	IFIH1
REAC:R-HSA-168164	Toll Like Receptor 3 (TLR3) Cascade	REAC	NFKB2
REAC:R-HSA-181438	Toll Like Receptor 2 (TLR2) Cascade	REAC	NFKB2
REAC:R-HSA-168142	Toll Like Receptor 10 (TLR10) Cascade	REAC	NFKB2
REAC:R-HSA-844456	The NLRP3 inflammasome	REAC	NFKB2
REAC:R-HSA-937061	TRIF (TICAM1)-mediated TLR4 signaling 	REAC	NFKB2
REAC:R-HSA-975138	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	REAC	NFKB2
WP:WP5130	Th17 cell differentiation pathway	WP	IL1B
WP:WP5144	NRP1 triggered signaling in pancreatic cancer 	WP	NFKB2
WP:WP5158	Urotensin II mediated signaling	WP	IL1B
REAC:R-HSA-933541	TRAF6 mediated IRF7 activation	REAC	IFIH1
REAC:R-HSA-918233	TRAF3-dependent IRF activation pathway	REAC	IFIH1
WP:WP5187	mRNA vaccine activation of dendritic cell and induction of IFN 1	WP	IFIH1
REAC:R-HSA-5676594	TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway	REAC	LTB
WP:WP5285	Immune infiltration in pancreatic cancer	WP	IL1B
REAC:R-HSA-445989	TAK1-dependent IKK and NF-kappa-B activation  	REAC	NFKB2
REAC:R-HSA-983705	Signaling by the B Cell Receptor (BCR)	REAC	PTPN6
REAC:R-HSA-1433557	Signaling by SCF-KIT	REAC	PTPN6
REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	REAC	PTPN6
WP:WP5224	2q37 copy number variation syndrome	WP	IL1B
REAC:R-HSA-9700206	Signaling by ALK in cancer	REAC	PTPN6
REAC:R-HSA-9725370	Signaling by ALK fusions and activated point mutants	REAC	PTPN6
REAC:R-HSA-201556	Signaling by ALK	REAC	PTPN6
REAC:R-HSA-391160	Signal regulatory protein family interactions	REAC	PTPN6
REAC:R-HSA-162582	Signal Transduction	REAC	PTPN6
REAC:R-HSA-4755510	SUMOylation of immune response proteins	REAC	NFKB2
REAC:R-HSA-2990846	SUMOylation	REAC	NFKB2
REAC:R-HSA-3108232	SUMO E3 ligases SUMOylate target proteins	REAC	NFKB2
REAC:R-HSA-9705683	SARS-CoV-2-host interactions	REAC	PTPN6
REAC:R-HSA-9705683	SARS-CoV-2-host interactions	REAC	IFIH1
WP:WP5222	2q13 copy number variation syndrome	WP	IL1B
HP:0002673	Coxa valga	HP	IFIH1
HP:0002721	Immunodeficiency	HP	NFKB2
HP:0002721	Immunodeficiency	HP	CD40
HP:0002684	Thickened calvaria	HP	IFIH1
HP:0025756	Abnormal nail attachment	HP	IFIH1
HP:0025616	Sterile abscess	HP	PTPN6
WP:WP3863	T cell antigen receptor TCR pathway during Staphylococcus aureus infection	WP	PTPN6
HP:0025615	Abscess	HP	PTPN6
HP:0025474	Erythematous plaque	HP	PTPN6
HP:0025454	Abnormal CSF metabolite concentration	HP	IFIH1
HP:0025452	Pyoderma gangrenosum	HP	PTPN6
WP:WP3865	Novel intracellular components of RIG I like receptor pathway	WP	IFIH1
HP:0025439	Pharyngitis	HP	NFKB2
HP:0025426	Abnormal bronchus morphology	HP	NFKB2
WP:WP3888	VEGFA VEGFR2 signaling	WP	PTPN6
HP:0025408	Abnormal spleen morphology	HP	IFIH1
HP:0025408	Abnormal spleen morphology	HP	NFKB2
HP:0025379	Anti-thyroid peroxidase antibody positivity	HP	NFKB2
WP:WP3890	Nanomaterial induced inflammasome activation	WP	IL1B
HP:0025354	Abnormal cellular phenotype	HP	IFIH1
HP:0025354	Abnormal cellular phenotype	HP	NFKB2
HP:0025354	Abnormal cellular phenotype	HP	CD40
HP:0025323	Abnormal arterial physiology	HP	IFIH1
HP:0025179	Ground-glass opacification	HP	IFIH1
HP:0025142	Constitutional symptom	HP	PTPN6
HP:0025142	Constitutional symptom	HP	NFKB2
HP:0025085	Bloody diarrhea	HP	IFIH1
HP:0025033	Abnormal digestive system morphology	HP	PTPN6
HP:0025033	Abnormal digestive system morphology	HP	IFIH1
HP:0025033	Abnormal digestive system morphology	HP	IL1B
HP:0025033	Abnormal digestive system morphology	HP	NFKB2
HP:0025032	Abnormality of digestive system physiology	HP	PTPN6
HP:0025032	Abnormality of digestive system physiology	HP	IFIH1
HP:0025032	Abnormality of digestive system physiology	HP	NFKB2
HP:0025031	Abnormality of the digestive system	HP	PTPN6
HP:0025031	Abnormality of the digestive system	HP	IFIH1
HP:0025031	Abnormality of the digestive system	HP	IL1B
HP:0025031	Abnormality of the digestive system	HP	NFKB2
HP:0025021	Abnormal erythrocyte sedimentation rate	HP	PTPN6
HP:0025015	Abnormal vascular morphology	HP	PTPN6
HP:0025015	Abnormal vascular morphology	HP	IFIH1
HP:0025015	Abnormal vascular morphology	HP	NFKB2
HP:0020169	Abnormal drug response	HP	PTPN6
HP:0020100	Unusual fungal infection	HP	NFKB2
HP:0012823	Clinical modifier	HP	IFIH1
HP:0012823	Clinical modifier	HP	NFKB2
WP:WP3858	Toll like receptor signaling related to MyD88	WP	NFKB2
HP:0025766	Abnormal affect	HP	IFIH1
HP:0025792	Abnormal cognitive process	HP	IFIH1
HP:0025806	Abnormal total B cell count	HP	NFKB2
HP:0030972	Abnormal systemic blood pressure	HP	IFIH1
HP:0030972	Abnormal systemic blood pressure	HP	NFKB2
HP:0030962	Abnormal morphology of the great vessels	HP	IFIH1
HP:0030880	Raynaud phenomenon	HP	IFIH1
WP:WP289	Myometrial relaxation and contraction pathways	WP	IL1B
HP:0030878	Abnormality on pulmonary function testing	HP	NFKB2
WP:WP304	Kit receptor signaling	WP	PTPN6
HP:0030804	Trachyonychia	HP	NFKB2
HP:0030791	Abnormal jaw morphology	HP	IFIH1
WP:WP3286	Copper homeostasis	WP	XAF1
HP:0030783	Increased circulating interleukin 6 concentration	HP	PTPN6
HP:0030680	Abnormal cardiovascular system morphology	HP	PTPN6
HP:0030680	Abnormal cardiovascular system morphology	HP	IFIH1
HP:0030680	Abnormal cardiovascular system morphology	HP	NFKB2
WP:WP3624	Lung fibrosis	WP	IL1B
HP:0030674	Antenatal onset	HP	IFIH1
HP:0012759	Neurodevelopmental abnormality	HP	IFIH1
HP:0012759	Neurodevelopmental abnormality	HP	NFKB2
HP:0030669	Abnormal ocular adnexa morphology	HP	IFIH1
HP:0030355	Abnormal circulating interferon-gamma concentration	HP	IFIH1
WP:WP382	MAPK signaling	WP	IL1B
WP:WP382	MAPK signaling	WP	NFKB2
HP:0030353	Decreased serum insulin-like growth factor 1	HP	NFKB2
HP:0030352	Abnormal serum insulin-like growth factor 1 level	HP	NFKB2
HP:0030350	Erythematous papule	HP	PTPN6
HP:0030349	Decreased circulating androgen concentration	HP	NFKB2
HP:0030347	Abnormal circulating androgen level	HP	NFKB2
HP:0030311	Lower extremity joint dislocation	HP	IFIH1
HP:0030182	Tetraplegia/tetraparesis	HP	IFIH1
HP:0030163	Abnormal vascular physiology	HP	IFIH1
HP:0030057	Autoimmune antibody positivity	HP	NFKB2
HP:0030043	Hip subluxation	HP	IFIH1
HP:0030038	Enchondroma	HP	IFIH1
HP:0030356	Increased circulating interferon-gamma concentration	HP	IFIH1
HP:0012758	Neurodevelopmental delay	HP	IFIH1
HP:0012758	Neurodevelopmental delay	HP	NFKB2
HP:0012719	Functional abnormality of the gastrointestinal tract	HP	PTPN6
HP:0012719	Functional abnormality of the gastrointestinal tract	HP	IFIH1
HP:0012719	Functional abnormality of the gastrointestinal tract	HP	NFKB2
HP:0012718	Abnormal gastrointestinal tract morphology	HP	PTPN6
HP:0012718	Abnormal gastrointestinal tract morphology	HP	IFIH1
HP:0012718	Abnormal gastrointestinal tract morphology	HP	IL1B
HP:0012718	Abnormal gastrointestinal tract morphology	HP	NFKB2
WP:WP395	IL4 signaling	WP	PTPN6
WP:WP4008	NO cGMP PKG mediated neuroprotection	WP	IL1B
HP:0011968	Feeding difficulties	HP	IFIH1
HP:0011947	Respiratory tract infection	HP	IFIH1
HP:0011947	Respiratory tract infection	HP	NFKB2
HP:0011944	Small vessel vasculitis	HP	PTPN6
HP:0011915	Cardiovascular calcification	HP	IFIH1
HP:0011897	Increased total neutrophil count	HP	PTPN6
HP:0011895	Anemia due to reduced life span of red cells	HP	IFIH1
HP:0011895	Anemia due to reduced life span of red cells	HP	NFKB2
WP:WP4217	Ebola virus infection in host	WP	NFKB2
HP:0011875	Abnormal platelet morphology	HP	IFIH1
HP:0011875	Abnormal platelet morphology	HP	NFKB2
HP:0011873	Abnormal platelet count	HP	IFIH1
HP:0011873	Abnormal platelet count	HP	NFKB2
HP:0011849	Abnormal bone ossification	HP	IFIH1
HP:0011844	Abnormal appendicular skeleton morphology	HP	IFIH1
HP:0011991	Abnormal total neutrophil count	HP	PTPN6
HP:0011991	Abnormal total neutrophil count	HP	CD40
HP:0011843	Abnormal musculoskeletal physiology	HP	IFIH1
HP:0011834	Moyamoya phenomenon	HP	IFIH1
HP:0011821	Abnormal facial skeleton morphology	HP	IFIH1
HP:0011821	Abnormal facial skeleton morphology	HP	NFKB2
WP:WP4262	Breast cancer pathway	WP	NFKB2
HP:0011805	Abnormal skeletal muscle morphology	HP	PTPN6
HP:0011805	Abnormal skeletal muscle morphology	HP	IFIH1
HP:0011804	Abnormal muscle physiology	HP	IFIH1
HP:0011793	Neoplasm by anatomical site	HP	PTPN6
HP:0011793	Neoplasm by anatomical site	HP	IFIH1
HP:0011793	Neoplasm by anatomical site	HP	IL1B
HP:0011793	Neoplasm by anatomical site	HP	NFKB2
HP:0011772	Abnormal thyroid morphology	HP	NFKB2
HP:0011747	Abnormality of the anterior pituitary	HP	NFKB2
HP:0011735	Adrenocorticotropin deficient adrenal insufficiency	HP	NFKB2
HP:0011734	Central adrenal insufficiency	HP	NFKB2
HP:0011733	Abnormality of adrenal physiology	HP	NFKB2
HP:0011731	Abnormality of circulating cortisol level	HP	NFKB2
HP:0011729	Abnormality of joint mobility	HP	IFIH1
HP:0011842	Abnormal skeletal morphology	HP	PTPN6
HP:0011842	Abnormal skeletal morphology	HP	IFIH1
HP:0011842	Abnormal skeletal morphology	HP	NFKB2
HP:0031072	Abnormal endocrine physiology	HP	NFKB2
WP:WP3937	Microglia pathogen phagocytosis pathway	WP	PTPN6
HP:0012111	Abnormality of circulating glucocorticoid level	HP	NFKB2
HP:0012649	Increased inflammatory response	HP	PTPN6
HP:0012649	Increased inflammatory response	HP	IFIH1
HP:0012649	Increased inflammatory response	HP	NFKB2
HP:0012647	Abnormal inflammatory response	HP	PTPN6
HP:0012647	Abnormal inflammatory response	HP	IFIH1
HP:0012647	Abnormal inflammatory response	HP	NFKB2
HP:0012639	Abnormal nervous system morphology	HP	IFIH1
HP:0012639	Abnormal nervous system morphology	HP	NFKB2
HP:0012638	Abnormal nervous system physiology	HP	IFIH1
HP:0012638	Abnormal nervous system physiology	HP	NFKB2
HP:0012547	Abnormal involuntary eye movements	HP	IFIH1
HP:0012531	Pain	HP	PTPN6
HP:0012531	Pain	HP	NFKB2
HP:0012504	Abnormal size of pituitary gland	HP	NFKB2
HP:0012503	Abnormal pituitary gland morphology	HP	NFKB2
WP:WP3893	Development and heterogeneity of the ILC family	WP	IL1B
HP:0012448	Delayed myelination	HP	IFIH1
HP:0012447	Abnormal myelination	HP	IFIH1
HP:0012444	Brain atrophy	HP	IFIH1
HP:0012443	Abnormal brain morphology	HP	IFIH1
HP:0012443	Abnormal brain morphology	HP	NFKB2
WP:WP3930	EDA signaling in hair follicle development	WP	LTB
HP:0012387	Bronchitis	HP	NFKB2
HP:0012378	Fatigue	HP	NFKB2
HP:0012373	Abnormal eye physiology	HP	IFIH1
HP:0012373	Abnormal eye physiology	HP	NFKB2
HP:0012372	Abnormal eye morphology	HP	IFIH1
HP:0012337	Abnormal homeostasis	HP	PTPN6
HP:0012337	Abnormal homeostasis	HP	IFIH1
HP:0012337	Abnormal homeostasis	HP	NFKB2
HP:0012252	Abnormal respiratory system morphology	HP	IFIH1
HP:0012252	Abnormal respiratory system morphology	HP	NFKB2
HP:0012243	Abnormal reproductive system morphology	HP	IFIH1
HP:0012229	CSF pleocytosis	HP	IFIH1
HP:0012211	Abnormal renal physiology	HP	IFIH1
HP:0012203	Onychomycosis	HP	NFKB2
HP:0012145	Abnormality of multiple cell lineages in the bone marrow	HP	IFIH1
HP:0012126	Stomach cancer	HP	IL1B
HP:0012115	Hepatitis	HP	IFIH1
WP:WP3926	ApoE and miR 146 in inflammation and atherosclerosis	WP	NFKB2
